match_id,innings,over,ball,batting_team,bowling_team,batsman,bowler,total_runs,is_wicket
1,1,1,1,Chennai Super Kings,Mumbai Indians,MS Dhoni,J Bumrah,1,1
1,1,1,2,Chennai Super Kings,Mumbai Indians,M Pandey,J Bumrah,1,0
1,1,1,3,Chennai Super Kings,Mumbai Indians,M Pandey,J Bumrah,0,0
1,1,1,4,Chennai Super Kings,Mumbai Indians,M Pandey,J Bumrah,3,0
1,1,1,5,Chennai Super Kings,Mumbai Indians,R Sharma,J Bumrah,4,0
1,1,1,6,Chennai Super Kings,Mumbai Indians,V Kohli,J Bumrah,0,0
1,1,2,1,Chennai Super Kings,Mumbai Indians,V Kohli,Rashid Khan,1,0
1,1,2,2,Chennai Super Kings,Mumbai Indians,R Sharma,Rashid Khan,0,0
1,1,2,3,Chennai Super Kings,Mumbai Indians,A Rahane,Rashid Khan,1,0
1,1,2,4,Chennai Super Kings,Mumbai Indians,N Rana,Rashid Khan,1,0
1,1,2,5,Chennai Super Kings,Mumbai Indians,MS Dhoni,Rashid Khan,1,0
1,1,2,6,Chennai Super Kings,Mumbai Indians,M Pandey,Rashid Khan,6,1
1,1,3,1,Chennai Super Kings,Mumbai Indians,A Rahane,J Archer,0,0
1,1,3,2,Chennai Super Kings,Mumbai Indians,A Rahane,J Archer,1,0
1,1,3,3,Chennai Super Kings,Mumbai Indians,MS Dhoni,J Archer,0,0
1,1,3,4,Chennai Super Kings,Mumbai Indians,MS Dhoni,J Archer,2,0
1,1,3,5,Chennai Super Kings,Mumbai Indians,A Rahane,J Archer,2,0
1,1,3,6,Chennai Super Kings,Mumbai Indians,N Rana,J Archer,3,0
1,1,4,1,Chennai Super Kings,Mumbai Indians,V Kohli,T Boult,1,0
1,1,4,2,Chennai Super Kings,Mumbai Indians,N Rana,T Boult,0,0
1,1,4,3,Chennai Super Kings,Mumbai Indians,A Rahane,T Boult,1,0
1,1,4,4,Chennai Super Kings,Mumbai Indians,A Rahane,T Boult,1,0
1,1,4,5,Chennai Super Kings,Mumbai Indians,R Sharma,T Boult,0,0
1,1,4,6,Chennai Super Kings,Mumbai Indians,A Rahane,T Boult,6,0
1,1,5,1,Chennai Super Kings,Mumbai Indians,M Pandey,T Boult,0,0
1,1,5,2,Chennai Super Kings,Mumbai Indians,V Kohli,T Boult,2,0
1,1,5,3,Chennai Super Kings,Mumbai Indians,R Sharma,T Boult,1,0
1,1,5,4,Chennai Super Kings,Mumbai Indians,N Rana,T Boult,1,0
1,1,5,5,Chennai Super Kings,Mumbai Indians,V Kohli,T Boult,0,0
1,1,5,6,Chennai Super Kings,Mumbai Indians,N Rana,T Boult,1,0
1,1,6,1,Chennai Super Kings,Mumbai Indians,A Rahane,J Bumrah,0,0
1,1,6,2,Chennai Super Kings,Mumbai Indians,M Pandey,J Bumrah,1,0
1,1,6,3,Chennai Super Kings,Mumbai Indians,R Sharma,J Bumrah,1,0
1,1,6,4,Chennai Super Kings,Mumbai Indians,A Rahane,J Bumrah,0,0
1,1,6,5,Chennai Super Kings,Mumbai Indians,R Sharma,J Bumrah,0,0
1,1,6,6,Chennai Super Kings,Mumbai Indians,MS Dhoni,J Bumrah,0,0
1,1,7,1,Chennai Super Kings,Mumbai Indians,N Rana,T Boult,0,0
1,1,7,2,Chennai Super Kings,Mumbai Indians,M Pandey,T Boult,0,0
1,1,7,3,Chennai Super Kings,Mumbai Indians,MS Dhoni,T Boult,1,0
1,1,7,4,Chennai Super Kings,Mumbai Indians,A Rahane,T Boult,0,0
1,1,7,5,Chennai Super Kings,Mumbai Indians,N Rana,T Boult,4,0
1,1,7,6,Chennai Super Kings,Mumbai Indians,MS Dhoni,T Boult,0,0
1,1,8,1,Chennai Super Kings,Mumbai Indians,V Kohli,T Boult,4,0
1,1,8,2,Chennai Super Kings,Mumbai Indians,A Rahane,T Boult,1,0
1,1,8,3,Chennai Super Kings,Mumbai Indians,V Kohli,T Boult,1,0
1,1,8,4,Chennai Super Kings,Mumbai Indians,M Pandey,T Boult,0,0
1,1,8,5,Chennai Super Kings,Mumbai Indians,A Rahane,T Boult,2,1
1,1,8,6,Chennai Super Kings,Mumbai Indians,MS Dhoni,T Boult,0,0
1,1,9,1,Chennai Super Kings,Mumbai Indians,A Rahane,M Shami,0,0
1,1,9,2,Chennai Super Kings,Mumbai Indians,MS Dhoni,M Shami,1,0
1,1,9,3,Chennai Super Kings,Mumbai Indians,M Pandey,M Shami,4,0
1,1,9,4,Chennai Super Kings,Mumbai Indians,A Rahane,M Shami,1,1
1,1,9,5,Chennai Super Kings,Mumbai Indians,M Pandey,M Shami,2,0
1,1,9,6,Chennai Super Kings,Mumbai Indians,M Pandey,M Shami,2,0
1,1,10,1,Chennai Super Kings,Mumbai Indians,R Sharma,T Boult,1,0
1,1,10,2,Chennai Super Kings,Mumbai Indians,M Pandey,T Boult,4,0
1,1,10,3,Chennai Super Kings,Mumbai Indians,MS Dhoni,T Boult,0,0
1,1,10,4,Chennai Super Kings,Mumbai Indians,R Sharma,T Boult,0,0
1,1,10,5,Chennai Super Kings,Mumbai Indians,M Pandey,T Boult,1,0
1,1,10,6,Chennai Super Kings,Mumbai Indians,MS Dhoni,T Boult,1,0
1,1,11,1,Chennai Super Kings,Mumbai Indians,V Kohli,Rashid Khan,1,0
